1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
71%,75%,74%,77%,76%,74%,75%,75%,76%,77%,78%,79%,77%,77%,77%,78%,77%,79%,79%,79%,79%,78%,78%,78%,78%,78%,78%,77%,77%,76%,76%,76%,76%,76%,76%,76%,77%,77%,77%,78%,78%
2%,4%,5%,4%,4%,4%,3%,3%,3%,2%,2%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
13%,6%,4%,3%,3%,4%,4%,5%,3%,2%,2%,1%,3%,3%,2%,2%,2%,1%,<1%,1%,<1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29%,27%,31%,33%,33%,33%,34%,33%,34%,34%,39%,41%,39%,39%,40%,41%,40%,42%,43%,42%,42%,42%,42%,43%,44%,42%,43%,44%,43%,46%,46%,44%,44%,42%,41%,40%,39%,38%,38%,37%,38%
12%,12%,15%,16%,17%,18%,19%,19%,20%,20%,24%,25%,25%,26%,27%,27%,28%,30%,31%,31%,32%,33%,32%,33%,34%,34%,35%,35%,35%,35%,36%,37%,38%,39%,39%,41%,42%,42%,42%,42%,43%
3%,2%,3%,3%,3%,3%,3%,4%,4%,5%,5%,6%,6%,6%,6%,6%,7%,7%,8%,8%,8%,9%,8%,8%,8%,9%,10%,10%,10%,11%,10%,11%,11%,11%,12%,11%,11%,10%,10%,10%,10%
<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,1%,1%,1%,1%,1%,1%,1%,2%,2%,2%,2%,2%,2%,3%,3%,3%,3%,3%,3%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
7%,7%,10%,9%,9%,9%,8%,6%,6%,6%,6%,6%,7%,8%,9%,8%,8%,4%,4%,4%,4%,5%,5%,8%,10%,6%,3%,3%,3%,3%,2%,2%,2%,2%,2%,2%,2%,2%,2%,3%,2%
49%,53%,42%,38%,39%,38%,37%,40%,37%,37%,27%,23%,25%,21%,19%,19%,18%,17%,16%,15%,14%,14%,13%,9%,7%,12%,12%,11%,11%,7%,7%,7%,7%,7%,8%,8%,8%,9%,9%,10%,10%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26%,23%,24%,25%,23%,23%,24%,23%,24%,22%,20%,19%,18%,18%,18%,19%,19%,20%,21%,22%,22%,22%,22%,23%,23%,23%,24%,25%,24%,23%,21%,19%,17%,15%,14%,14%,14%,13%,12%,11%,9%
21%,20%,19%,22%,22%,21%,22%,21%,22%,23%,24%,24%,23%,23%,22%,22%,21%,21%,20%,20%,20%,20%,20%,21%,21%,21%,21%,21%,22%,23%,23%,23%,23%,23%,22%,22%,22%,21%,20%,18%,18%
11%,10%,10%,12%,12%,12%,13%,14%,14%,16%,17%,17%,16%,16%,16%,16%,15%,16%,16%,16%,15%,15%,14%,13%,13%,13%,13%,13%,13%,13%,14%,14%,15%,16%,16%,17%,18%,19%,19%,19%,19%
7%,7%,6%,8%,8%,8%,8%,8%,9%,10%,11%,11%,11%,12%,12%,12%,12%,13%,13%,13%,12%,12%,12%,12%,11%,11%,11%,10%,10%,10%,10%,10%,11%,11%,11%,12%,13%,13%,14%,15%,16%
5%,5%,4%,5%,5%,5%,6%,6%,6%,7%,7%,8%,8%,8%,8%,8%,9%,10%,10%,10%,10%,10%,10%,10%,10%,10%,9%,10%,10%,9%,9%,9%,9%,9%,9%,9%,9%,10%,10%,11%,11%
3%,3%,3%,4%,3%,3%,4%,4%,4%,5%,5%,5%,5%,5%,5%,6%,6%,6%,7%,7%,7%,7%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,9%,8%,8%,8%,8%,8%,8%
3%,2%,2%,2%,2%,2%,3%,2%,3%,3%,3%,3%,3%,3%,3%,4%,4%,4%,4%,4%,5%,5%,5%,5%,5%,5%,5%,5%,6%,6%,6%,6%,6%,6%,7%,6%,6%,7%,7%,7%,7%
2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,4%,4%,4%,4%,5%,5%,4%,5%,5%,5%,5%
1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,2%,1%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,3%,3%,3%,3%,3%,3%,3%,3%
1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,2%,2%,2%
1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,2%,2%,2%
19%,24%,27%,17%,20%,21%,16%,17%,13%,9%,8%,7%,11%,10%,10%,9%,9%,4%,3%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
